1.10517	1.25133
1.2214	2.06171
1.34986	1.66454
1.49182	2.66131
1.64872	3.81672
1.82212	4.07699
2.01375	4.18715
2.22554	7.32241
2.4596	7.33216
2.71828	8.98849
3.00417	18.34209
3.32012	28.19805
3.6693	22.13358
4.0552	22.18107
4.48169	36.09728
4.95303	74.617
5.47395	73.46131
6.04965	63.35166
6.68589	118.2228
7.38906	133.31547
8.16617	167.59936
9.02501	220.94492
9.97418	281.12375
11.02318	467.59413
12.18249	624.7835
13.46374	628.03942
14.87973	587.07631
16.44465	1238.31711
18.17415	1435.82202
20.08554	2551.11495
