1.10517	1.17599
1.2214	1.53451
1.34986	1.70783
1.49182	1.27046
1.64872	1.12131
1.82212	1.3902
2.01375	1.69189
2.22554	1.2031
2.4596	1.61153
2.71828	2.20216
3.00417	1.19573
3.32012	2.44535
3.6693	1.68695
4.0552	2.11466
4.48169	2.2506
4.95303	1.20775
5.47395	3.0453
6.04965	3.58959
6.68589	3.63723
7.38906	4.44934
8.16617	4.93209
9.02501	4.58598
9.97418	7.89633
11.02318	10.56289
12.18249	10.55707
13.46374	16.42318
14.87973	16.21656
16.44465	20.22916
18.17415	21.66575
20.08554	57.52807
