0.1	1.30486	0.132
0.2	2.76108	0.254
0.3	4.61624	0.416
0.4	6.40821	0.618
0.5	8.19093	0.86
0.6	13.64633	1.142
0.7	14.4536	1.464
0.8	20.54698	1.826
0.9	19.89911	2.228
1	26.42022	2.67
1.1	32.99367	3.152
1.2	35.08118	3.674
1.3	36.59095	4.236
1.4	48.1618	4.838
1.5	48.57484	5.48
1.6	53.54224	6.162
1.7	74.77988	6.884
1.8	91.90103	7.646
1.9	78.49087	8.448
2	77.56268	9.29
2.1	94.03641	10.172
2.2	131.27852	11.094
2.3	123.44557	12.056
2.4	111.23936	13.058
2.5	142.60935	14.1
2.6	144.09787	15.182
2.7	153.21527	16.304
2.8	166.18475	17.466
2.9	176.85646	18.668
3	214.93342	19.91
