0.1	3.01158	0.026
0.2	2.98593	0.026
0.3	3.06631	0.026
0.4	3.05278	0.026
0.5	3.04476	0.026
0.6	3.11733	0.026
0.7	3.11184	0.026
0.8	3.1606	0.026
0.9	3.13754	0.026
1	3.16727	0.026
1.1	3.23873	0.026
1.2	3.15266	0.026
1.3	3.19082	0.026
1.4	3.17118	0.026
1.5	3.24424	0.026
1.6	3.23374	0.026
1.7	3.22573	0.026
1.8	3.19339	0.026
1.9	3.25225	0.026
2	3.21043	0.026
2.1	3.15055	0.026
2.2	3.12996	0.026
2.3	3.16601	0.026
2.4	3.11413	0.026
2.5	3.08652	0.026
2.6	3.10301	0.026
2.7	3.05111	0.026
2.8	3.02228	0.026
2.9	2.99318	0.026
3	3.0217	0.026
