0.1	0.08849	0.00792
0.2	0.21338	0.01568
0.3	0.26717	0.02328
0.4	0.36879	0.03072
0.5	0.49345	0.038
0.6	0.56921	0.04512
0.7	0.67939	0.05208
0.8	0.85455	0.05888
0.9	0.78789	0.06552
1	0.81403	0.072
1.1	1.01145	0.07832
1.2	0.92031	0.08448
1.3	1.18972	0.09048
1.4	1.24335	0.09632
1.5	1.2716	0.102
1.6	1.4702	0.10752
1.7	1.42968	0.11288
1.8	1.47105	0.11808
1.9	1.67017	0.12312
2	1.46624	0.128
2.1	1.39882	0.13272
2.2	1.60699	0.13728
2.3	1.57554	0.14168
2.4	1.69253	0.14592
2.5	1.76136	0.15
2.6	1.86872	0.15392
2.7	1.98039	0.15768
2.8	2.10788	0.16128
2.9	1.86318	0.16472
3	2.08953	0.168
