-1.4	0.00295	3.158E-4
-1.3	0.00677	6.719E-4
-1.2	0.01442	1.373E-3
-1.1	0.02709	2.692E-3
-1	0.05035	5.067E-3
-0.9	0.0877	9.158E-3
-0.8	0.18113	1.589E-2
-0.7	0.2728	2.647E-2
-0.6	0.44102	4.232E-2
-0.5	0.59665	6.496E-2
-0.4	0.77779	9.573E-2
-0.3	1.06092	1.354E-1
-0.2	1.60271	1.839E-1
-0.1	2.39725	2.398E-1
0	3.21964	3.002E-1
0.1	3.48293	3.607E-1
0.2	4.12594	4.161E-1
0.3	4.78656	4.608E-1
0.4	5.06097	4.899E-1
0.5	4.31792	5E-1
0.6	4.65688	4.899E-1
0.7	4.43195	4.608E-1
0.8	4.9049	4.161E-1
0.9	3.68262	3.607E-1
1	3.12082	3.002E-1
1.1	2.21458	2.398E-1
1.2	2.22189	1.839E-1
1.3	1.39484	1.354E-1
1.4	1.08472	9.573E-2
1.5	0.75105	6.496E-2
