-1.4	0.58078	0.05976
-1.3	0.70155	0.06568
-1.2	0.77778	0.07249
-1.1	0.83535	0.08033
-1	0.94215	0.08942
-0.9	0.90412	0.1
-0.8	1.17482	0.11239
-0.7	1.29785	0.12694
-0.6	1.0864	0.14412
-0.5	1.47883	0.16443
-0.4	2.33029	0.18846
-0.3	1.96489	0.21681
-0.2	1.75495	0.25
-0.1	2.77311	0.28824
0	3.2135	0.33108
0.1	3.94403	0.37692
0.2	3.89172	0.42241
0.3	4.55475	0.46226
0.4	4.18234	0.49
0.5	4.9994	0.5
0.6	5.7749	0.49
0.7	5.48255	0.46226
0.8	4.64007	0.42241
0.9	3.52678	0.37692
1	3.45508	0.33108
1.1	2.57585	0.28824
1.2	2.29324	0.25
1.3	2.0616	0.21681
1.4	1.85987	0.18846
1.5	1.79036	0.16443
